"States","n","%","CI"\
"Alabama",568,71.0,"(\'b15.4)"\
"Alaska",351,29.4,"(\'b15.3)"\
"Arizona",569,59.7,"(\'b14.9)"\
"Arkansas",291,58.0,"(\'b17.4)"\
"California",131,69.3,"(\'b14)"\
"Colorado",325,53.4,"(\'b16)"\
"Connecticut",291,62.2,"(\'b16.2)"\
"Delaware",300,62.8,"(\'b16.3)"\
"District of Columbia",294,78.0,"(\'b15.8)"\
"Florida",856,50.9,"(\'b15.5)"\
"Georgia",551,61.9,"(\'b15.9)"\
"Hawaii",299,63.2,"(\'b16.1)"\
"Idaho",316,17.7,"(\'b15)"\
"Illinois",565,45.4,"(\'b15.4)"\
"Indiana",535,40.9,"(\'b15.8)"\
"Iowa",308,46.5,"(\'b16)"\
"Kansas",328,54.8,"(\'b16.2)"\
"Kentucky",299,64.2,"(\'b16.5)"\
"Louisiana",595,58.6,"(\'b15.9)"\
"Maine",278,43.7,"(\'b16.2)"\
"Maryland",540,71.8,"(\'b15.1)"\
"Massachusetts",525,65.0,"(\'b15.9)"\
"Michigan",549,43.7,"(\'b15.7)"\
"Minnesota",274,61.7,"(\'b16.7)"\
"Mississippi",278,42.7,"(\'b17.4)"\
"Missouri",315,49.4,"(\'b16.2)"\
"Montana",287,44.6,"(\'b16.4)"\
"Nebraska",299,58.3,"(\'b16.3)"\
"Nevada",313,51.1,"(\'b16.5)"\
"New Hampshire",254,54.6,"(\'b17)"\
"New Jersey",587,59.5,"(\'b16.3)"\
"New Mexico",300,51.6,"(\'b16.9)"\
"New York",541,59.7,"(\'b14.5)"\
"North Carolina",294,59.8,"(\'b16.6)"\
"North Dakota",306,46.9,"(\'b16)"\
"Ohio",922,52.5,"(\'b15)"\
"Oklahoma",298,67.0,"(\'b17.1)"\
"Oregon",279,58.3,"(\'b16.3)"\
"Pennsylvania",566,66.4,"(\'b15.5)"\
"Rhode Island",255,78.4,"(\'b15.5)"\
"South Carolina",333,64.5,"(\'b16.2)"\
"South Dakota",327,18.5,"(\'b15.4)"\
"Tennessee",868,57.4,"(\'b14.8)"\
"Texas",411,57.2,"(\'b14.4)"\
"Utah",302,41.3,"(\'b16.4)"\
"Vermont",319,47.1,"(\'b16.1)"\
"Virginia",275,63.1,"(\'b16.7)"\
"Washington",620,31.9,"(\'b14.3)"\
"West Virginia",294,52.3,"(\'b16.4)"\
"Wisconsin",553,49.1,"(\'b15.1)"\
"Wyoming",309,46.4,"(\'b16.4)"\
"Guam","NA","NA","NA"\
"Puerto Rico","NA","NA","NA"\
"U.S. Virgin Islands","NA","NA","NA"\
"CO-Denver","NA","NA","NA"\
"CO-Rest of State",325,53.4,"(\'b16)"\
"AL-Jefferson County",264,77.2,"(\'b15.6)"\
"AL-Rest of State",304,69.9,"(\'b16.2)"\
"FL-Duval County",307,49.7,"(\'b16.5)"\
"FL-Miami-Dade County",264,46.2,"(\'b16.7)"\
"FL-Orange County","NA","NA","NA"\
"FL-Rest of State",285,52.1,"(\'b17)"\
"NY-City of New York",262,60.8,"(\'b16.7)"\
"NY-Rest of State",279,58.7,"(\'b16.2)"\
"PA-Allegheny County","NA","NA","NA"\
"PA-Philadelphia",283,73.7,"(\'b16)"\
"PA-Rest of State",283,65.0,"(\'b16.4)"\
"TX-Bexar County",276,61.9,"(\'b17.2)"\
"TX-City of Houston",248,59.2,"(\'b17.3)"\
"TX-El Paso County",335,67.4,"(\'b16)"\
"TX-Rest of State",350,55.1,"(\'b16.5)"\
"TX-Dallas County",202,60.1,"(\'b17.5)"\
"TX-Hidalgo County","NA","NA","NA"\
"TX-Travis County","NA","NA","NA"\
"TX-Tarrant County","NA","NA","NA"\
"CA-Alameda County","NA","NA","NA"\
"CA-Fresno County","NA","NA","NA"\
"CA-Los Angeles County",259,74.3,"(\'b16.2)"\
"CA-Northern CA Counties","NA","NA","NA"\
"CA-San Bernardino County","NA","NA","NA"\
"CA-San Diego County",294,71.1,"(\'b15.7)"\
"CA-Santa Clara County",297,66.5,"(\'b15.9)"\
"CA-Rest of State",281,66.5,"(\'b16.3)"\
"IL-City of Chicago",271,39.2,"(\'b18.2)"\
"IL-Rest of State",294,47.8,"(\'b16.7)"\
"IL-Madison/St. Clair Counties","NA","NA","NA"\
"IN-Lake County","NA","NA","NA"\
"IN-Marion County",251,50.5,"(\'b17.2)"\
"IN-Rest of State",284,39.0,"(\'b16.8)"\
"KS-Eastern KS Counties","NA","NA","NA"\
"KS-Rest of State",328,54.8,"(\'b16.2)"\
"LA-Orleans Parish",259,55.2,"(\'b17.3)"\
"LA-Rest of State",336,59.1,"(\'b16.6)"\
"MD-City of Baltimore",222,78.2,"(\'b16.5)"\
"MD-Prince George's County","NA","NA","NA"\
"MD-Rest of State",318,70.7,"(\'b15.8)"\
"MA-City of Boston",267,70.6,"(\'b17.2)"\
"MA-Rest of State",258,64.3,"(\'b16.5)"\
"MI-City of Detroit",243,39.0,"(\'b16.9)"\
"MI-Rest of State",306,44.3,"(\'b16.4)"\
"MN-Twin Cities","NA","NA","NA"\
"MN-Rest of State",274,61.7,"(\'b16.7)"\
"MO-St. Louis County/City","NA","NA","NA"\
"MO-Rest of State",315,49.4,"(\'b16.2)"\
"GA-Fulton/DeKalb Counties",263,65.6,"(\'b16.5)"\
"GA-Rest of State",288,61.1,"(\'b17.1)"\
"NV-Clark County","NA","NA","NA"\
"NV-Rest of State",313,51.1,"(\'b16.5)"\
"NJ-City of Newark",248,47.5,"(\'b17.8)"\
"NJ-Rest of State",339,60.1,"(\'b16.6)"\
"NM-Southern NM Counties","NA","NA","NA"\
"NM-Rest of State",300,51.6,"(\'b16.9)"\
"OH-Cuyahoga County",327,53.8,"(\'b16.5)"\
"OH-Franklin County",297,65.4,"(\'b15.8)"\
"OH-Rest of State",298,50.5,"(\'b16.4)"\
"AZ-Maricopa County",253,61.3,"(\'b16.8)"\
"AZ-Rest of State",316,57.1,"(\'b16.5)"\
"TN-Davidson County",294,55.8,"(\'b16.6)"\
"TN-Shelby County",283,49.4,"(\'b16.6)"\
"TN-Rest of State",291,59.9,"(\'b16.5)"\
"WA-Eastern WA Counties","NA","NA","NA"\
"WA-King County",325,38.4,"(\'b15.9)"\
"WA-Western Counties","NA","NA","NA"\
"WA-Eastern/Western WA Counties","NA","NA","NA"\
"WA-Rest of State",295,29.4,"(\'b15.5)"\
"WI-Milwaukee County",254,54.3,"(\'b17.1)"\
"WI-Rest of State",299,47.6,"(\'b16.2)"\
