"States","n","%","CI"\
"Alabama",532,91.3,"(\'b13.7)"\
"Alaska",278,81.1,"(\'b15.1)"\
"Arizona",612,81.5,"(\'b13.7)"\
"Arkansas",253,88.3,"(\'b15)"\
"California",074,89.7,"(\'b12.8)"\
"Colorado",281,78.9,"(\'b15.6)"\
"Connecticut",279,93.2,"(\'b13.2)"\
"Delaware",291,81.5,"(\'b16.1)"\
"District of Columbia",266,88.8,"(\'b14.9)"\
"Florida",829,87.6,"(\'b14)"\
"Georgia",565,90.5,"(\'b13.5)"\
"Hawaii",293,89.6,"(\'b14.2)"\
"Idaho",253,72.8,"(\'b16.1)"\
"Illinois",538,77.8,"(\'b14.7)"\
"Indiana",534,73.1,"(\'b16.3)"\
"Iowa",264,71.6,"(\'b16.5)"\
"Kansas",248,74.7,"(\'b16.1)"\
"Kentucky",265,91.6,"(\'b14.2)"\
"Louisiana",557,83.3,"(\'b14.5)"\
"Maine",277,81.0,"(\'b14.8)"\
"Maryland",550,90.4,"(\'b14.3)"\
"Massachusetts",567,89.1,"(\'b14.3)"\
"Michigan",565,88.8,"(\'b13.8)"\
"Minnesota",268,78.2,"(\'b16.4)"\
"Mississippi",250,88.5,"(\'b14.5)"\
"Missouri",290,83.9,"(\'b14.8)"\
"Montana",282,74.6,"(\'b15.6)"\
"Nebraska",276,75.3,"(\'b16.8)"\
"Nevada",282,78.1,"(\'b15.6)"\
"New Hampshire",280,83.3,"(\'b14.9)"\
"New Jersey",532,76.8,"(\'b16)"\
"New Mexico",253,84.7,"(\'b15.4)"\
"New York",521,87.3,"(\'b13.2)"\
"North Carolina",276,86.0,"(\'b14.8)"\
"North Dakota",273,71.8,"(\'b16)"\
"Ohio",756,81.5,"(\'b14.4)"\
"Oklahoma",268,83.9,"(\'b16.2)"\
"Oregon",262,87.0,"(\'b14.4)"\
"Pennsylvania",586,85.9,"(\'b14.5)"\
"Rhode Island",232,90.7,"(\'b14.6)"\
"South Carolina",256,86.0,"(\'b15)"\
"South Dakota",256,68.4,"(\'b16.7)"\
"Tennessee",892,87.8,"(\'b13.5)"\
"Texas",417,87.6,"(\'b12.8)"\
