"States","n","%","CI"\
"Utah",269,79.0,"(\'b16.1)"\
"Vermont",288,71.2,"(\'b15.9)"\
"Virginia",280,87.0,"(\'b15.1)"\
"Washington",580,66.6,"(\'b14.9)"\
"West Virginia",228,76.5,"(\'b17)"\
"Wisconsin",516,84.4,"(\'b14.2)"\
"Wyoming",270,68.6,"(\'b16.1)"\
"Guam","NA","NA","NA"\
"Puerto Rico","NA","NA","NA"\
"U.S. Virgin Islands","NA","NA","NA"\
"CO-Denver","NA","NA","NA"\
"CO-Rest of State",281,78.9,"(\'b15.6)"\
"AL-Jefferson County",252,94.0,"(\'b13.1)"\
"AL-Rest of State",280,90.8,"(\'b14.3)"\
"FL-Duval County",278,90.5,"(\'b14.2)"\
"FL-Miami-Dade County",276,86.0,"(\'b14.4)"\
"FL-Orange County","NA","NA","NA"\
"FL-Rest of State",275,87.7,"(\'b15)"\
"NY-City of New York",244,91.5,"(\'b13.7)"\
"NY-Rest of State",277,83.5,"(\'b15.1)"\
"PA-Allegheny County","NA","NA","NA"\
"PA-Philadelphia",295,90.0,"(\'b14.2)"\
"PA-Rest of State",291,85.1,"(\'b15.3)"\
"TX-Bexar County",257,88.2,"(\'b14.6)"\
"TX-City of Houston",281,83.5,"(\'b14.7)"\
"TX-El Paso County",241,86.3,"(\'b15)"\
"TX-Rest of State",327,88.7,"(\'b14)"\
"TX-Dallas County",311,85.8,"(\'b15)"\
"TX-Hidalgo County","NA","NA","NA"\
"TX-Travis County","NA","NA","NA"\
"TX-Tarrant County","NA","NA","NA"\
"CA-Alameda County","NA","NA","NA"\
"CA-Fresno County","NA","NA","NA"\
"CA-Los Angeles County",256,95.2,"(\'b12.5)"\
"CA-Northern CA Counties","NA","NA","NA"\
"CA-San Bernardino County","NA","NA","NA"\
"CA-San Diego County",250,86.9,"(\'b15.1)"\
"CA-Santa Clara County",266,87.3,"(\'b14.7)"\
"CA-Rest of State",302,87.4,"(\'b14.5)"\
"IL-City of Chicago",277,84.3,"(\'b16.6)"\
"IL-Rest of State",261,75.3,"(\'b16.1)"\
"IL-Madison/St. Clair Counties","NA","NA","NA"\
"IN-Lake County","NA","NA","NA"\
"IN-Marion County",289,79.9,"(\'b15.2)"\
"IN-Rest of State",245,71.7,"(\'b17.5)"\
"KS-Eastern KS Counties","NA","NA","NA"\
"KS-Rest of State",248,74.7,"(\'b16.1)"\
"LA-Orleans Parish",255,82.7,"(\'b16.6)"\
"LA-Rest of State",302,83.3,"(\'b14.9)"\
"MD-City of Baltimore",262,89.1,"(\'b14.7)"\
"MD-Prince George's County","NA","NA","NA"\
"MD-Rest of State",288,90.6,"(\'b14.9)"\
"MA-City of Boston",294,94.4,"(\'b13.2)"\
"MA-Rest of State",273,88.5,"(\'b14.8)"\
"MI-City of Detroit",252,79.8,"(\'b17.1)"\
"MI-Rest of State",313,90.0,"(\'b14.2)"\
"MN-Twin Cities","NA","NA","NA"\
"MN-Rest of State",268,78.2,"(\'b16.4)"\
"MO-St. Louis County/City","NA","NA","NA"\
"MO-Rest of State",290,83.9,"(\'b14.8)"\
"GA-Fulton/DeKalb Counties",311,90.0,"(\'b13.6)"\
"GA-Rest of State",254,90.7,"(\'b14.2)"\
"NV-Clark County","NA","NA","NA"\
"NV-Rest of State",282,78.1,"(\'b15.6)"\
"NJ-City of Newark",260,80.9,"(\'b15.5)"\
"NJ-Rest of State",272,76.7,"(\'b16.3)"\
"NM-Southern NM Counties","NA","NA","NA"\
"NM-Rest of State",253,84.7,"(\'b15.4)"\
"OH-Cuyahoga County",260,83.6,"(\'b16.1)"\
"OH-Franklin County",241,83.0,"(\'b15.2)"\
"OH-Rest of State",255,81.0,"(\'b15.6)"\
"AZ-Maricopa County",318,83.3,"(\'b14.7)"\
"AZ-Rest of State",294,78.3,"(\'b15.9)"\
"TN-Davidson County",276,89.5,"(\'b14.4)"\
"TN-Shelby County",330,86.6,"(\'b14.6)"\
"TN-Rest of State",286,87.8,"(\'b14.7)"\
"WA-Eastern WA Counties","NA","NA","NA"\
"WA-King County",293,71.9,"(\'b16.6)"\
"WA-Western Counties","NA","NA","NA"\
"WA-Eastern/Western WA Counties","NA","NA","NA"\
"WA-Rest of State",287,64.6,"(\'b16.3)"\
"WI-Milwaukee County",262,85.7,"(\'b15.6)"\
"WI-Rest of State",254,84.1,"(\'b15.1)"\
