"States","n","%","CI"\
"Alabama",515,89.9,"(\'b14.7)"\
"Alaska",299,76.5,"(\'b16.5)"\
"Arizona",603,85.8,"(\'b13.5)"\
"Arkansas",270,94.0,"(\'b13)"\
"California",144,90.2,"(\'b12.4)"\
"Colorado",298,86.1,"(\'b14.6)"\
"Connecticut",237,92.7,"(\'b14.1)"\
"Delaware",317,87.6,"(\'b15.6)"\
"District of Columbia",326,92.3,"(\'b13.5)"\
"Florida",823,91.3,"(\'b12.9)"\
"Georgia",549,91.6,"(\'b14.1)"\
"Hawaii",322,91.7,"(\'b13.4)"\
"Idaho",293,77.1,"(\'b15.7)"\
"Illinois",574,85.9,"(\'b13.7)"\
"Indiana",514,80.3,"(\'b15.4)"\
"Iowa",263,85.9,"(\'b15.4)"\
"Kansas",260,77.8,"(\'b16.6)"\
"Kentucky",243,89.6,"(\'b15.8)"\
"Louisiana",568,82.2,"(\'b15.2)"\
"Maine",255,83.8,"(\'b15.2)"\
"Maryland",546,90.2,"(\'b14.1)"\
"Massachusetts",551,90.6,"(\'b13.8)"\
"Michigan",626,88.0,"(\'b14.3)"\
"Minnesota",250,83.3,"(\'b16.3)"\
"Mississippi",285,90.6,"(\'b14.4)"\
"Missouri",261,85.1,"(\'b15)"\
"Montana",280,74.9,"(\'b15.8)"\
"Nebraska",302,82.2,"(\'b15)"\
"Nevada",317,80.7,"(\'b14.9)"\
"New Hampshire",261,85.6,"(\'b15.3)"\
"New Jersey",566,86.8,"(\'b14.8)"\
"New Mexico",325,87.5,"(\'b14.7)"\
"New York",522,89.1,"(\'b13.6)"\
"North Carolina",311,89.9,"(\'b14.6)"\
"North Dakota",294,79.6,"(\'b15.2)"\
"Ohio",846,84.2,"(\'b14.2)"\
"Oklahoma",314,89.6,"(\'b14.6)"\
"Oregon",279,84.8,"(\'b15)"\
"Pennsylvania",572,91.9,"(\'b13.4)"\
"Rhode Island",284,91.7,"(\'b13.6)"\
"South Carolina",251,90.2,"(\'b14.7)"\
"South Dakota",266,79.4,"(\'b15.9)"\
"Tennessee",818,89.0,"(\'b13.5)"\
"Texas",454,84.8,"(\'b13.2)"\
"Utah",297,84.7,"(\'b14.6)"\
"Vermont",290,72.8,"(\'b16.2)"\
"Virginia",273,88.4,"(\'b15)"\
"Washington",548,77.6,"(\'b14.4)"\
"West Virginia",308,81.7,"(\'b16.2)"\
"Wisconsin",549,88.6,"(\'b13.3)"\
"Wyoming",279,70.4,"(\'b16.4)"\
"Guam","NA","NA","NA"\
"Puerto Rico","NA","NA","NA"\
"U.S. Virgin Islands","NA","NA","NA"\
"CO-Denver","NA","NA","NA"\
"CO-Rest of State",298,86.1,"(\'b14.6)"\
"AL-Jefferson County",273,90.3,"(\'b15)"\
"AL-Rest of State",242,89.8,"(\'b15.5)"\
"FL-Duval County",256,81.7,"(\'b16.9)"\
"FL-Miami-Dade County",268,81.3,"(\'b15.9)"\
"FL-Orange County","NA","NA","NA"\
"FL-Rest of State",299,94.1,"(\'b13.5)"\
"NY-City of New York",250,90.2,"(\'b14.5)"\
"NY-Rest of State",272,88.2,"(\'b15.6)"\
"PA-Allegheny County","NA","NA","NA"\
"PA-Philadelphia",298,89.3,"(\'b14.6)"\
"PA-Rest of State",274,92.3,"(\'b14)"\
"TX-Bexar County",266,88.7,"(\'b14.9)"\
"TX-City of Houston",303,79.4,"(\'b15.8)"\
"TX-El Paso County",261,88.8,"(\'b14.5)"\
"TX-Rest of State",341,84.9,"(\'b14.6)"\
"TX-Dallas County",283,86.4,"(\'b14.8)"\
"TX-Hidalgo County","NA","NA","NA"\
"TX-Travis County","NA","NA","NA"\
"TX-Tarrant County","NA","NA","NA"\
"CA-Alameda County","NA","NA","NA"\
"CA-Fresno County","NA","NA","NA"\
"CA-Los Angeles County",299,89.7,"(\'b14)"\
"CA-Northern CA Counties","NA","NA","NA"\
"CA-San Bernardino County","NA","NA","NA"\
"CA-San Diego County",323,87.3,"(\'b14.7)"\
"CA-Santa Clara County",257,87.0,"(\'b15)"\
"CA-Rest of State",265,91.2,"(\'b13.6)"\
"IL-City of Chicago",275,86.8,"(\'b15.3)"\
"IL-Rest of State",299,85.6,"(\'b14.7)"\
"IL-Madison/St. Clair Counties","NA","NA","NA"\
"IN-Lake County","NA","NA","NA"\
"IN-Marion County",245,85.1,"(\'b15.5)"\
"IN-Rest of State",269,79.3,"(\'b16.4)"\
"KS-Eastern KS Counties","NA","NA","NA"\
"KS-Rest of State",260,77.8,"(\'b16.6)"\
"LA-Orleans Parish",269,83.7,"(\'b15.9)"\
"LA-Rest of State",299,82.0,"(\'b15.8)"\
"MD-City of Baltimore",283,91.0,"(\'b16.1)"\
"MD-Prince George's County","NA","NA","NA"\
"MD-Rest of State",263,90.1,"(\'b14.6)"\
"MA-City of Boston",277,91.4,"(\'b14.2)"\
"MA-Rest of State",274,90.5,"(\'b14.2)"\
"MI-City of Detroit",293,86.4,"(\'b15.1)"\
"MI-Rest of State",333,88.2,"(\'b14.8)"\
"MN-Twin Cities","NA","NA","NA"\
"MN-Rest of State",250,83.3,"(\'b16.3)"\
"MO-St. Louis County/City","NA","NA","NA"\
"MO-Rest of State",261,85.1,"(\'b15)"\
"GA-Fulton/DeKalb Counties",290,89.4,"(\'b14.7)"\
"GA-Rest of State",259,92.1,"(\'b14.9)"\
"NV-Clark County","NA","NA","NA"\
"NV-Rest of State",317,80.7,"(\'b14.9)"\
"NJ-City of Newark",271,79.8,"(\'b15.6)"\
"NJ-Rest of State",295,87.1,"(\'b15)"\
"NM-Southern NM Counties","NA","NA","NA"\
"NM-Rest of State",325,87.5,"(\'b14.7)"\
"OH-Cuyahoga County",291,90.7,"(\'b14.6)"\
"OH-Franklin County",273,87.3,"(\'b14.7)"\
"OH-Rest of State",282,82.8,"(\'b15.4)"\
"AZ-Maricopa County",325,85.3,"(\'b14.6)"\
"AZ-Rest of State",278,86.7,"(\'b14.9)"\
"TN-Davidson County",259,94.0,"(\'b13.2)"\
"TN-Shelby County",286,88.4,"(\'b14.8)"\
"TN-Rest of State",273,88.4,"(\'b14.8)"\
"WA-Eastern WA Counties","NA","NA","NA"\
"WA-King County",263,84.5,"(\'b14.8)"\
"WA-Western Counties","NA","NA","NA"\
"WA-Eastern/Western WA Counties","NA","NA","NA"\
"WA-Rest of State",285,75.0,"(\'b15.8)"\
"WI-Milwaukee County",283,86.4,"(\'b15.2)"\
"WI-Rest of State",266,89.2,"(\'b14)"\
