"States","n","%","CI"\
"Alabama",339,92.9,"(\'b13.9)"\
"Alaska",250,77.8,"(\'b16.4)"\
"Arizona",275,91.1,"(\'b14.4)"\
"Arkansas",347,90.0,"(\'b15)"\
"California",950,92.4,"(\'b12.7)"\
"Colorado",305,90.1,"(\'b15.6)"\
"Connecticut",227,93.2,"(\'b14)"\
"Delaware",290,94.4,"(\'b12.9)"\
"District of Columbia",269,90.4,"(\'b14.2)"\
"Florida",756,90.7,"(\'b13.7)"\
"Georgia",299,90.6,"(\'b14.8)"\
"Hawaii",238,92.6,"(\'b14.1)"\
"Idaho",282,80.7,"(\'b15.8)"\
"Illinois",969,88.3,"(\'b13.3)"\
"Indiana",301,87.9,"(\'b14.6)"\
"Iowa",262,87.8,"(\'b14.8)"\
"Kansas",303,90.1,"(\'b14.7)"\
"Kentucky",272,87.7,"(\'b15)"\
"Louisiana",340,95.0,"(\'b12.4)"\
"Maine",275,90.1,"(\'b13.8)"\
"Maryland",610,92.2,"(\'b12.9)"\
"Massachusetts",266,95.3,"(\'b12.5)"\
"Michigan",282,87.4,"(\'b14.8)"\
"Minnesota",362,90.1,"(\'b13.5)"\
"Mississippi",377,92.1,"(\'b13.7)"\
"Missouri",315,88.1,"(\'b14.5)"\
"Montana",268,77.7,"(\'b16)"\
"Nebraska",316,89.2,"(\'b13.8)"\
"Nevada",246,86.8,"(\'b14.7)"\
"New Hampshire",241,91.3,"(\'b13.5)"\
"New Jersey",322,85.9,"(\'b14.8)"\
"New Mexico",280,89.3,"(\'b14.6)"\
"New York",529,88.2,"(\'b13.1)"\
"North Carolina",318,92.3,"(\'b13.7)"\
"North Dakota",269,85.0,"(\'b14.6)"\
"Ohio",300,93.3,"(\'b13.1)"\
"Oklahoma",261,90.5,"(\'b14.4)"\
"Oregon",224,90.4,"(\'b14)"\
"Pennsylvania",609,92.4,"(\'b13)"\
"Rhode Island",224,93.0,"(\'b14)"\
"South Carolina",345,89.2,"(\'b14.5)"\
"South Dakota",305,90.1,"(\'b13.8)"\
"Tennessee",335,92.7,"(\'b13.6)"\
"Texas",377,93.1,"(\'b12.6)"\
"Utah",232,92.7,"(\'b14.1)"\
"Vermont",232,77.0,"(\'b16)"\
"Virginia",225,93.0,"(\'b14.8)"\
"Washington",430,86.8,"(\'b14.1)"\
"West Virginia",300,89.3,"(\'b14.8)"\
"Wisconsin",222,88.3,"(\'b15.3)"\
"Wyoming",259,84.6,"(\'b14.6)"\
"Guam","NA","NA","NA"\
"Puerto Rico","NA","NA","NA"\
"U.S. Virgin Islands","NA","NA","NA"\
"CO-Denver","NA","NA","NA"\
"CO-Rest of State",305,90.1,"(\'b15.6)"\
"AL-Jefferson County","NA","NA","NA"\
"AL-Rest of State",339,92.9,"(\'b13.9)"\
"FL-Duval County","NA","NA","NA"\
"FL-Miami-Dade County",264,87.8,"(\'b15.3)"\
"FL-Orange County",255,92.9,"(\'b13.5)"\
"FL-Rest of State",237,91.1,"(\'b14.7)"\
"NY-City of New York",267,90.6,"(\'b13.8)"\
"NY-Rest of State",262,85.8,"(\'b15)"\
"PA-Allegheny County","NA","NA","NA"\
"PA-Philadelphia",320,93.6,"(\'b13.1)"\
"PA-Rest of State",289,92.2,"(\'b13.5)"\
"TX-Bexar County",288,95.4,"(\'b13)"\
"TX-City of Houston",269,90.0,"(\'b14.6)"\
"TX-El Paso County",281,92.5,"(\'b13)"\
"TX-Rest of State",240,94.3,"(\'b13.7)"\
"TX-Dallas County",299,88.9,"(\'b14.3)"\
"TX-Hidalgo County","NA","NA","NA"\
"TX-Travis County","NA","NA","NA"\
"TX-Tarrant County","NA","NA","NA"\
"CA-Alameda County","NA","NA","NA"\
"CA-Fresno County","NA","NA","NA"\
"CA-Los Angeles County",291,92.2,"(\'b13.2)"\
"CA-Northern CA Counties",231,85.9,"(\'b14.9)"\
"CA-San Bernardino County","NA","NA","NA"\
"CA-San Diego County","NA","NA","NA"\
"CA-Santa Clara County",208,90.8,"(\'b14.4)"\
"CA-Rest of State",220,92.9,"(\'b13.9)"\
"IL-City of Chicago",318,89.2,"(\'b13.6)"\
"IL-Rest of State",335,88.0,"(\'b14.5)"\
"IL-Madison/St. Clair Counties",316,88.5,"(\'b14.4)"\
"IN-Lake County","NA","NA","NA"\
"IN-Marion County","NA","NA","NA"\
"IN-Rest of State",301,87.9,"(\'b14.6)"\
"KS-Eastern KS Counties","NA","NA","NA"\
"KS-Rest of State",303,90.1,"(\'b14.7)"\
"LA-Orleans Parish","NA","NA","NA"\
"LA-Rest of State","NA","NA","NA"\
"MD-City of Baltimore",294,87.5,"(\'b15)"\
"MD-Prince George's County","NA","NA","NA"\
"MD-Rest of State",316,92.9,"(\'b13.2)"\
"MA-City of Boston","NA","NA","NA"\
"MA-Rest of State",266,95.3,"(\'b12.5)"\
"MI-City of Detroit","NA","NA","NA"\
"MI-Rest of State",282,87.4,"(\'b14.8)"\
"MN-Twin Cities",245,89.9,"(\'b14.7)"\
"MN-Rest of State",117,90.4,"(\'b15.2)"\
"MO-St. Louis County/City","NA","NA","NA"\
"MO-Rest of State",315,88.1,"(\'b14.5)"\
"GA-Fulton/DeKalb Counties","NA","NA","NA"\
"GA-Rest of State",299,90.6,"(\'b14.8)"\
"NV-Clark County","NA","NA","NA"\
"NV-Rest of State",246,86.8,"(\'b14.7)"\
"NJ-City of Newark","NA","NA","NA"\
"NJ-Rest of State",322,85.9,"(\'b14.8)"\
"NM-Southern NM Counties","NA","NA","NA"\
"NM-Rest of State",280,89.3,"(\'b14.6)"\
"OH-Cuyahoga County","NA","NA","NA"\
"OH-Franklin County","NA","NA","NA"\
"OH-Rest of State",300,93.3,"(\'b13.1)"\
"AZ-Maricopa County","NA","NA","NA"\
"AZ-Rest of State",275,91.1,"(\'b14.4)"\
"TN-Davidson County","NA","NA","NA"\
"TN-Shelby County","NA","NA","NA"\
"TN-Rest of State",335,92.7,"(\'b13.6)"\
"WA-Eastern WA Counties","NA","NA","NA"\
"WA-King County","NA","NA","NA"\
"WA-Western Counties","NA","NA","NA"\
"WA-Eastern/Western WA Counties",237,86.4,"(\'b14.7)"\
"WA-Rest of State",193,87.0,"(\'b15.6)"\
"WI-Milwaukee County","NA","NA","NA"\
"WI-Rest of State",222,88.3,"(\'b15.3)"\
