"States","n","%","CI"\
"Alabama",399,94.2,"(\'b12.8)"\
"Alaska",278,87.2,"(\'b14.5)"\
"Arizona",279,87.9,"(\'b15.9)"\
"Arkansas",322,93.0,"(\'b13.4)"\
"California",407,91.8,"(\'b12.8)"\
"Colorado",403,88.6,"(\'b15.4)"\
"Connecticut",386,94.1,"(\'b13.0)"\
"Delaware",326,90.5,"(\'b15.1)"\
"District of Columbia",369,93.7,"(\'b12.8)"\
"Florida",346,90.0,"(\'b14.3)"\
"Georgia",359,93.2,"(\'b13.3)"\
"Hawaii",296,91.2,"(\'b15.0)"\
"Idaho",282,86.0,"(\'b15.6)"\
"Illinois",762,91.5,"(\'b13.1)"\
"Indiana",382,90.3,"(\'b13.8)"\
"Iowa",313,88.2,"(\'b15.1)"\
"Kansas",359,89.6,"(\'b14.7)"\
"Kentucky",281,91.6,"(\'b15.0)"\
"Louisiana",307,91.7,"(\'b13.9)"\
"Maine",294,86.4,"(\'b14.5)"\
"Maryland",657,93.9,"(\'b12.8)"\
"Massachusetts",295,92.0,"(\'b14.2)"\
"Michigan",386,86.5,"(\'b16.3)"\
"Minnesota",278,88.7,"(\'b15.6)"\
"Mississippi",292,90.6,"(\'b14.5)"\
"Missouri",397,87.1,"(\'b14.1)"\
"Montana",328,85.6,"(\'b15.4)"\
"Nebraska",276,94.1,"(\'b13.6)"\
"Nevada",306,88.2,"(\'b15.3)"\
"New Hampshire",244,87.0,"(\'b15.3)"\
"New Jersey",372,92.2,"(\'b13.4)"\
"New Mexico",332,90.3,"(\'b14.4)"\
"New York",586,88.0,"(\'b13.8)"\
"North Carolina",287,89.6,"(\'b15.6)"\
"North Dakota",247,90.8,"(\'b15.2)"\
"Ohio",284,93.4,"(\'b13.9)"\
"Oklahoma",303,90.5,"(\'b14.3)"\
"Oregon",296,89.3,"(\'b14.4)"\
"Pennsylvania",671,93.0,"(\'b12.6)"\
"Rhode Island",367,93.7,"(\'b12.5)"\
"South Carolina",269,89.6,"(\'b14.8)"\
"South Dakota",254,84.8,"(\'b18.1)"\
"Tennessee",297,90.7,"(\'b14.0)"\
"Texas",683,94.1,"(\'b11.6)"\
"Utah",353,83.6,"(\'b15.7)"\
"Vermont",276,85.4,"(\'b15.0)"\
"Virginia",394,88.2,"(\'b15.3)"\
"Washington",295,87.8,"(\'b14.7)"\
"West Virginia",373,86.5,"(\'b14.3)"\
"Wisconsin",307,90.2,"(\'b14.6)"\
"Wyoming",289,86.8,"(\'b18.7)"\
"Guam","NA","NA","NA"\
"Puerto Rico","NA","NA","NA"\
"U.S. Virgin Islands",390,70.6,"(\'b15.4)"\
"CO-Denver","NA","NA","NA"\
"CO-Rest of State","NA","NA","NA"\
"AL-Jefferson County","NA","NA","NA"\
"AL-Rest of State","NA","NA","NA"\
"FL-Duval County","NA","NA","NA"\
"FL-Miami-Dade County","NA","NA","NA"\
"FL-Orange County","NA","NA","NA"\
"FL-Rest of State","NA","NA","NA"\
"NY-City of New York",312,90.2,"(\'b14.0)"\
"NY-Rest of State",274,85.9,"(\'b16.3)"\
"PA-Allegheny County","NA","NA","NA"\
"PA-Philadelphia",290,92.3,"(\'b14.0)"\
"PA-Rest of State",381,93.1,"(\'b13.0)"\
"TX-Bexar County",350,94.1,"(\'b13.4)"\
"TX-City of Houston",314,95.0,"(\'b13.0)"\
"TX-El Paso County",270,90.8,"(\'b14.6)"\
"TX-Rest of State",429,95.1,"(\'b12.2)"\
"TX-Dallas County",320,88.5,"(\'b14.8)"\
"TX-Hidalgo County","NA","NA","NA"\
"TX-Travis County","NA","NA","NA"\
"TX-Tarrant County","NA","NA","NA"\
"CA-Alameda County","NA","NA","NA"\
"CA-Fresno County","NA","NA","NA"\
"CA-Los Angeles County","NA","NA","NA"\
"CA-Northern CA Counties","NA","NA","NA"\
"CA-San Bernardino County","NA","NA","NA"\
"CA-San Diego County","NA","NA","NA"\
"CA-Santa Clara County","NA","NA","NA"\
"CA-Rest of State",407,91.8,"(\'b12.8)"\
"IL-City of Chicago",411,90.7,"(\'b14.2)"\
"IL-Rest of State",351,91.8,"(\'b13.9)"\
"IL-Madison/St. Clair Counties","NA","NA","NA"\
"IN-Lake County","NA","NA","NA"\
"IN-Marion County","NA","NA","NA"\
"IN-Rest of State","NA","NA","NA"\
"KS-Eastern KS Counties","NA","NA","NA"\
"KS-Rest of State","NA","NA","NA"\
"LA-Orleans Parish","NA","NA","NA"\
"LA-Rest of State","NA","NA","NA"\
"MD-City of Baltimore","NA","NA","NA"\
"MD-Prince George's County",312,92.5,"(\'b14.1)"\
"MD-Rest of State",345,94.1,"(\'b13.3)"\
"MA-City of Boston","NA","NA","NA"\
"MA-Rest of State","NA","NA","NA"\
"MI-City of Detroit","NA","NA","NA"\
"MI-Rest of State","NA","NA","NA"\
"MN-Twin Cities","NA","NA","NA"\
"MN-Rest of State","NA","NA","NA"\
"MO-St. Louis County/City","NA","NA","NA"\
"MO-Rest of State","NA","NA","NA"\
"GA-Fulton/DeKalb Counties","NA","NA","NA"\
"GA-Rest of State","NA","NA","NA"\
"NV-Clark County","NA","NA","NA"\
"NV-Rest of State","NA","NA","NA"\
"NJ-City of Newark","NA","NA","NA"\
"NJ-Rest of State","NA","NA","NA"\
"NM-Southern NM Counties","NA","NA","NA"\
"NM-Rest of State","NA","NA","NA"\
"OH-Cuyahoga County","NA","NA","NA"\
"OH-Franklin County","NA","NA","NA"\
"OH-Rest of State","NA","NA","NA"\
"AZ-Maricopa County","NA","NA","NA"\
"AZ-Rest of State","NA","NA","NA"\
"TN-Davidson County","NA","NA","NA"\
"TN-Shelby County","NA","NA","NA"\
"TN-Rest of State","NA","NA","NA"\
"WA-Eastern WA Counties","NA","NA","NA"\
"WA-King County","NA","NA","NA"\
"WA-Western Counties","NA","NA","NA"\
"WA-Eastern/Western WA Counties","NA","NA","NA"\
"WA-Rest of State","NA","NA","NA"\
"WI-Milwaukee County","NA","NA","NA"\
"WI-Rest of State","NA","NA","NA"\
