GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average household size -- - Total,Average household size -- - Owner occupied,Average household size -- - Renter occupied
0400000US01,01,Alabama,2.48,2.52,2.37
0400000US02,02,Alaska,2.65,2.76,2.47
0400000US04,04,Arizona,2.63,2.63,2.62
0400000US05,05,Arkansas,2.47,2.51,2.40
0400000US06,06,California,2.90,2.95,2.83
0400000US08,08,Colorado,2.49,2.57,2.34
0400000US09,09,Connecticut,2.52,2.64,2.27
0400000US10,10,Delaware,2.55,2.58,2.48
0400000US11,11,District of Columbia,2.11,2.20,2.04
0400000US12,12,Florida,2.48,2.47,2.49
0400000US13,13,Georgia,2.63,2.67,2.56
0400000US15,15,Hawaii,2.89,3.02,2.72
0400000US16,16,Idaho,2.66,2.70,2.56
0400000US17,17,Illinois,2.59,2.69,2.38
0400000US18,18,Indiana,2.52,2.60,2.33
0400000US19,19,Iowa,2.41,2.52,2.14
0400000US20,20,Kansas,2.49,2.60,2.27
0400000US21,21,Kentucky,2.45,2.51,2.31
0400000US22,22,Louisiana,2.55,2.61,2.43
0400000US23,23,Maine,2.32,2.43,2.04
0400000US24,24,Maryland,2.61,2.71,2.42
0400000US25,25,Massachusetts,2.48,2.66,2.18
0400000US26,26,Michigan,2.49,2.57,2.29
0400000US27,27,Minnesota,2.48,2.59,2.16
0400000US28,28,Mississippi,2.58,2.60,2.53
0400000US29,29,Missouri,2.45,2.54,2.25
0400000US30,30,Montana,2.35,2.42,2.18
0400000US31,31,Nebraska,2.46,2.58,2.21
0400000US32,32,Nevada,2.65,2.66,2.63
0400000US33,33,New Hampshire,2.46,2.59,2.14
0400000US34,34,New Jersey,2.68,2.79,2.47
0400000US35,35,New Mexico,2.55,2.60,2.43
0400000US36,36,New York,2.57,2.71,2.41
0400000US37,37,North Carolina,2.48,2.52,2.40
0400000US38,38,North Dakota,2.30,2.48,1.96
0400000US39,39,Ohio,2.44,2.54,2.24
0400000US40,40,Oklahoma,2.49,2.54,2.38
0400000US41,41,Oregon,2.47,2.53,2.36
0400000US42,42,Pennsylvania,2.45,2.57,2.16
0400000US44,44,Rhode Island,2.44,2.59,2.21
0400000US45,45,South Carolina,2.49,2.51,2.45
0400000US46,46,South Dakota,2.42,2.53,2.18
0400000US47,47,Tennessee,2.48,2.53,2.38
0400000US48,48,Texas,2.75,2.87,2.54
0400000US49,49,Utah,3.10,3.21,2.82
0400000US50,50,Vermont,2.34,2.45,2.08
0400000US51,51,Virginia,2.54,2.60,2.41
0400000US53,53,Washington,2.51,2.61,2.35
0400000US54,54,West Virginia,2.36,2.43,2.18
0400000US55,55,Wisconsin,2.43,2.56,2.16
0400000US56,56,Wyoming,2.42,2.50,2.26
0400000US72,72,Puerto Rico,2.68,2.70,2.63
